review_id,rating,review_text,review_date,helpful,review_len,sentiment,has_duplicates,is_gibberish,is_spam_repetition,is_non_english,is_emoji_spam,is_bad,clean_text
bad54fd7-bdb6-4254-8a6c-b9a49c7998c9,5,Good Sarvece and security,11/25/2025 13:30,1,25,positive,False,False,False,False,False,False,good sarvece security
5ef1e0c5-c69e-418e-88e5-7cafbfa6cae5,5,i really love this WhatsApp business so much,11/21/2025 22:07,0,44,positive,False,False,False,False,False,False,really love business much
ycVECBka-PXq4-6lBL-HQhO-kqM0jSO0xfzs,4,BK85v8jBDuWoQwOnfWuYfFxCrG4DK,24/11/2025 16:55,1,29,positive,False,False,False,False,False,False,bkvjbduwoqwonfwuyffxcrgdk
19730b95-4f53-4390-b35d-2917a131fa6d,5,the app is great but there is a slight problem I am getting banned without disturbing WhatsApp terms of service please solve this,11/26/2025 16:15,0,129,positive,False,False,False,False,False,False,great but slight problem getting banned without disturbing terms service please solve
9d823d8b-9ae7-4d4d-a6e2-13ebe96debc8,5,Very good app,11/24/2025 11:14,0,13,positive,False,False,False,False,False,False,very good
ba2d7b14-6c14-468f-b676-1b9cdc31f516,1,it was such a disgusting experience. I am totally upset 😞,11/21/2025 22:16,2,57,negative,False,False,False,False,False,False,disgusting experience totally upset
dd5a5b0f-8c65-4137-8a12-217d2ac8009a,4,hello team whatsApp my account is restricted for my some contacts. kindly review and resolve the issue as soon as possible. I am looking forward to your positive response,11/24/2025 14:55,0,170,positive,False,False,False,False,False,False,hello team account restricted contacts kindly review resolve issue soon possible looking forward positive response
9d5fe44b-5bcd-4ef3-951a-addef85b8c38,2,whatsapp beand problem this account can no longer use whatsapp,11/24/2025 20:14,0,62,negative,False,False,False,False,False,False,beand problem account no longer use
f7916f66-f6cc-4e9b-8313-a9e8fe7588a6,2,WhatsApp used to be very enjoyable but now unnecessary features are being added while important ones are neglected. 1. there is not reason for iphone devices to have more features when compared to android devices. android devices should also have the option to crop the size of videos being posted on statuses or being sent to a recipient. 2. HD quality should also be an option for screenshots that apply high resolutions to the screenshots. this is a feature only accessible to the samsungS series,11/23/2025 4:36,9,499,negative,False,False,False,False,False,False,used very enjoyable but unnecessary features added important ones neglected not reason iphone devices more features compared android devices android devices also option crop size videos posted statuses sent recipient hd quality also option screenshots apply high resolutions screenshots feature only accessible samsungs series
5671c5ab-62de-49b2-be62-2da2674d8916,1,My WhatsApp is not showing on my phone so please help me locate it,11/26/2025 2:11,1,66,negative,False,False,False,False,False,False,not showing phone please help locate
